 -3   23 20  23 32  23 41  23 49  23 56  ** **  ** **  ** **  ** **  ** **  ** **  ** **  ** **   0  2   0  2   0  4   0  6   0  8   0 10   0 12   0 14   0 17   0 20   0 23   0 27   0 32   0 36   0 42
 84   21  5  21 34  21 57  22 15  22 30  22 43  23  5  23 25  23 43  ** **  ** **  ** **   0  1   0 17   0 17   0 24   0 31   0 39   0 48   0 58   1  9   1 22   1 36   1 53   2 14   2 40   3 16   4 32
 85   22 12  22 39  22 59  23 16  23 29  23 41  ** **  ** **  ** **   0  1   0 20   0 43   0 56   1 11   1 11   1 18   1 25   1 33   1 41   1 51   2  2   2 14   2 27   2 43   3  2   3 26   3 58   4 50
 86   23 24  23 46  ** **  ** **  ** **  ** **   0  2   0 20   0 36   0 53   1 11   1 31   1 43   1 56   1 56   2  2   2  9   2 16   2 24   2 32   2 42   2 52   3  4   3 17   3 33   3 53   4 17   4 49
 87   ** **  ** **   0  3   0 17   0 29   0 39   0 57   1 12   1 26   1 40   1 56   2 13   2 23   2 34   2 34   2 40   2 45   2 51   2 57   3  4   3 12   3 20   3 30   3 41   3 53   4  8   4 25   4 47
 88    0 38   0 54   1  7   1 18   1 28   1 36   1 50   2  2   2 13   2 24   2 36   2 50   2 58   3  7   3  7   3 11   3 15   3 20   3 25   3 30   3 36   3 42   3 49   3 57   4  6   4 17   4 29   4 44
 89    1 50   2  1   2 11   2 18   2 25   2 30   2 40   2 49   2 57   3  5   3 13   3 23   3 29   3 35   3 35   3 38   3 41   3 44   3 47   3 51   3 55   4  0   4  5   4 10   4 16   4 23   4 31   4 40
 90    3  1   3  7   3 12   3 17   3 20   3 24   3 29   3 34   3 39   3 43   3 48   3 54   3 57   4  1   4  1   4  2   4  4   4  6   4  8   4 10   4 12   4 15   4 17   4 20   4 24   4 28   4 32   4 37
 91    4 11   4 12   4 14   4 15   4 15   4 16   4 17   4 19   4 20   4 21   4 22   4 23   4 24   4 25   4 25   4 25   4 26   4 26   4 27   4 27   4 28   4 28   4 29   4 30   4 31   4 31   4 33   4 34
 92    5 21   5 17   5 14   5 12   5 10   5  8   5  5   5  3   5  0   4 58   4 55   4 52   4 51   4 49   4 49   4 48   4 47   4 46   4 45   4 44   4 43   4 42   4 40   4 39   4 37   4 35   4 33   4 30
 93    6 31   6 22   6 15   6 10   6  5   6  1   5 53   5 47   5 41   5 35   5 29   5 22   5 18   5 13   5 13   5 11   5  9   5  7   5  4   5  2   4 59   4 56   4 52   4 49   4 44   4 39   4 34   4 27
 94    7 41   7 28   7 17   7  8   7  1   6 54   6 43   6 33   6 23   6 14   6  4   5 53   5 47   5 40   5 40   5 37   5 33   5 29   5 26   5 21   5 17   5 12   5  6   5  0   4 53   4 45   4 35   4 25
 95    8 53   8 34   8 19   8  7   7 57   7 48   7 33   7 20   7  7   6 55   6 42   6 27   6 19   6  9   6  9   6  5   6  0   5 55   5 50   5 44   5 37   5 30   5 22   5 14   5  4   4 52   4 38   4 22
 96   10  4   9 40   9 22   9  7   8 54   8 44   8 25   8  9   7 54   7 39   7 23   7  5   6 54   6 42   6 42   6 37   6 31   6 25   6 18   6 11   6  3   5 54   5 44   5 32   5 19   5  3   4 44   4 21
 97   11 12  10 44  10 23  10  6   9 52   9 39   9 18   9  0   8 43   8 26   8  8   7 47   7 35   7 21   7 21   7 15   7  8   7  1   6 53   6 44   6 35   6 24   6 12   5 58   5 41   5 21   4 56   4 21
 98   12 13  11 43  11 21  11  2  10 47  10 34  10 11   9 52   9 34   9 16   8 56   8 34   8 21   8  6   8  6   7 59   7 52   7 44   7 36   7 26   7 16   7  4   6 50   6 34   6 15   5 51   5 20   4 29
 99   13  5  12 36  12 13  11 55  11 40  11 27  11  4  10 45  10 27  10  9   9 49   9 27   9 13   8 58   8 58   8 51   8 44   8 36   8 27   8 18   8  7   7 55   7 41   7 25   7  5   6 40   6  7   5  9
100   13 47  13 20  13  0  12 43  12 29  12 17  11 56  11 37  11 20  11  3  10 45  10 24  10 11   9 57   9 57   9 51   9 44   9 36   9 28   9 19   9  9   8 58   8 45   8 30   8 12   7 50   7 22   6 39
101   14 19  13 57  13 40  13 25  13 13  13  3  12 45  12 29  12 14  11 59  11 43  11 25  11 14  11  1  11  1  10 56  10 50  10 44  10 37  10 29  10 20  10 11  10  0   9 48   9 34   9 17   8 55   8 28
102   14 44  14 27  14 14  14  3  13 54  13 46  13 31  13 19  13  7  12 55  12 42  12 28  12 19  12 10  12 10  12  5  12  1  11 56  11 50  11 44  11 38  11 31  11 23  11 14  11  3  10 51  10 37  10 19
103   15  4  14 54  14 45  14 37  14 31  14 26  14 16  14  7  13 59  13 51  13 42  13 33  13 27  13 20  13 20  13 17  13 14  13 11  13  7  13  4  12 59  12 55  12 49  12 43  12 37  12 29  12 20  12 10
104   15 22  15 17  15 13  15 10  15  6  15  4  14 59  14 55  14 51  14 47  14 43  14 39  14 36  14 33  14 33  14 31  14 30  14 28  14 27  14 25  14 23  14 21  14 18  14 16  14 13  14  9  14  5  14  1
105   15 39  15 40  15 40  15 41  15 41  15 42  15 42  15 43  15 44  15 44  15 45  15 46  15 46  15 47  15 47  15 47  15 47  15 48  15 48  15 48  15 49  15 49  15 49  15 50  15 51  15 51  15 52  15 53
106   15 57  16  3  16  9  16 13  16 17  16 21  16 27  16 32  16 37  16 42  16 48  16 54  16 58  17  2  17  2  17  4  17  6  17  8  17 11  17 13  17 16  17 19  17 22  17 26  17 31  17 35  17 41  17 48
107   16 17  16 30  16 40  16 48  16 56  17  2  17 13  17 23  17 33  17 42  17 53  18  4  18 11  18 19  18 19  18 23  18 26  18 30  18 35  18 40  18 45  18 51  18 57  19  4  19 12  19 22  19 33  19 47
108   16 42  17  0  17 15  17 27  17 38  17 47  18  3  18 17  18 31  18 44  18 58  19 15  19 25  19 36  19 36  19 41  19 46  19 52  19 58  20  5  20 13  20 21  20 31  20 42  20 54  21  9  21 27  21 50
109   17 14  17 38  17 57  18 12  18 26  18 37  18 57  19 14  19 30  19 47  20  4  20 25  20 37  20 50  20 50  20 56  21  3  21 10  21 18  21 27  21 36  21 47  22  0  22 14  22 31  22 51  23 18  23 56
110   17 56  18 25  18 47  19  4  19 19  19 32  19 54  20 13  20 31  20 49  21  8  21 31  21 44  21 59  21 59  22  6  22 13  22 21  22 30  22 40  22 50  23  3  23 17  23 33  23 53  ** **  ** **  ** **
111   18 52  19 21  19 44  20  2  20 17  20 30  20 53  21 12  21 30  21 49  22  8  22 31  22 44  22 59  22 59  23  6  23 13  23 21  23 30  23 40  23 51  ** **  ** **  ** **  ** **   0 18   0 52   1 52
